datetime_AEST,month,date,day,hour,season,CO,DBT,NO2,O3,PM10,PM2.5,SO2
2022-07-16 06:00:00,7,2022-07-16,16,6,winter,0.11597339255596228,9.107,6.116718164705617,18.722818619070267,11.064,4.200295417708858,0.1668858736690666
2022-07-16 07:00:00,7,2022-07-16,16,7,winter,0.12038242562945323,9.218,6.789131042947133,18.496314323299714,9.03552336130818,3.193,0.12881941035064415
2022-07-16 08:00:00,7,2022-07-16,16,8,winter,0.10759715365645706,9.335,7.506777176386265,16.59276766608582,9.726,3.3608499305976522,0.12036258192649285
2022-07-16 09:00:00,7,2022-07-16,16,9,winter,0.1130059290970502,9.889,6.34130477300198,18.232773096918777,11.69935588842361,2.356,0.17292460203724147
2022-07-16 10:00:00,7,2022-07-16,16,10,winter,0.14116682865403263,9.575,7.731,17.760053715201195,7.851074974875246,2.88,0.1384079690744997
2022-07-16 11:00:00,7,2022-07-16,16,11,winter,0.114,10.106,6.263,19.251,7.394288554346275,1.786,0.08789439646081121
2022-07-16 12:00:00,7,2022-07-16,16,12,winter,0.096,11.553,5.0695943925512665,19.89950566396493,6.481,1.3603464480169407,0.08329340266949714
2022-07-16 13:00:00,7,2022-07-16,16,13,winter,0.102,12.61,4.786,19.61099615253596,9.150946735121607,3.882646229064548,0.17611942684984427
2022-07-16 14:00:00,7,2022-07-16,16,14,winter,0.09409492534370534,13.38,4.443706812447431,21.533,7.521,1.84,0.06596166089439492
2022-07-16 15:00:00,7,2022-07-16,16,15,winter,0.08748844110464393,13.091,4.591082386220307,19.81320660921955,8.507418399893652,1.78,0.19244915344856395
2022-07-16 16:00:00,7,2022-07-16,16,16,winter,0.09249762695918617,12.41,5.137559693594085,19.774170507669908,7.986672175312918,1.753066208990802,0.07238411079824658
2022-07-16 17:00:00,7,2022-07-16,16,17,winter,0.10928952066758413,12.012,5.455,18.968436711484742,9.966,2.087,0.11266766598377131
2022-07-16 18:00:00,7,2022-07-16,16,18,winter,0.103,12.132,5.103525442473142,19.27188339125962,10.291,2.721848052780615,0.17567978373666193
2022-07-16 19:00:00,7,2022-07-16,16,19,winter,0.08571235577778191,12.196,4.873993913240611,20.633,8.83420855552933,1.9169475826539752,0.08909558758885083
2022-07-16 20:00:00,7,2022-07-16,16,20,winter,0.10988861570491926,12.081,5.50578877860346,19.87162363267862,11.394,3.202862450529608,0.17744653105117436
2022-07-16 21:00:00,7,2022-07-16,16,21,winter,0.08644861896351852,11.2255,5.310144519857403,21.70741013611621,8.148096107191844,2.965,0.09987642328245212
2022-07-16 22:00:00,7,2022-07-16,16,22,winter,0.0857470894428145,11.4555,3.420063989258665,22.149394357108044,4.519127603388041,0.443,0.04414586990797176
2022-07-16 23:00:00,7,2022-07-16,16,23,winter,0.083,11.57,3.4934984249780996,21.034177812106407,5.533,0.841,0.07612194835861885
2022-07-17 00:00:00,7,2022-07-17,17,0,winter,0.099,11.702,4.614736711020214,22.376560584329468,7.316310421525685,1.3138581153142042,0.098
2022-07-17 01:00:00,7,2022-07-17,17,1,winter,0.13741350241636496,11.876999999999999,7.2424263298680955,14.796929005860193,10.903585296282614,2.9990563180967253,0.14784280856463639
2022-07-17 02:00:00,7,2022-07-17,17,2,winter,0.09283825425992953,11.958,5.36933944862443,20.495,8.41434195401908,2.178,0.1371516391327745
2022-07-17 03:00:00,7,2022-07-17,17,3,winter,0.09790059416759167,12.044,5.50699827955674,20.146,7.886,1.9624296478855712,0.17558146096019556
2022-07-17 04:00:00,7,2022-07-17,17,4,winter,0.102,11.471,4.260259817927022,20.20652931835434,6.498,2.4215977975594143,0.085
2022-07-17 05:00:00,7,2022-07-17,17,5,winter,0.1028393964253107,11.586,3.6322074584449524,20.016,7.489,1.8442800195692115,0.08782982400870765
2022-07-17 06:00:00,7,2022-07-17,17,6,winter,0.10241057549794297,11.777,5.309690364910637,19.125861855406868,6.454,2.390132260301172,0.14948393931734216
